file,marker,count
idaes/models/properties/modular_properties/base/tests/test_modular_properties_scaler.py,parametrize,20
idaes/models/properties/modular_properties/base/tests/test_modular_properties_scaler.py,unit,9
idaes/models/properties/modular_properties/base/tests/test_noncondense.py,component,6
idaes/models/properties/modular_properties/base/tests/test_noncondense.py,skipif,16
idaes/models/properties/modular_properties/base/tests/test_noncondense.py,solver,6
idaes/models/properties/modular_properties/base/tests/test_noncondense.py,ui,2
idaes/models/properties/modular_properties/base/tests/test_noncondense.py,unit,5
idaes/models/properties/modular_properties/base/tests/test_noncondense_PR.py,component,6
idaes/models/properties/modular_properties/base/tests/test_noncondense_PR.py,skipif,16
idaes/models/properties/modular_properties/base/tests/test_noncondense_PR.py,solver,6
idaes/models/properties/modular_properties/base/tests/test_noncondense_PR.py,ui,2
idaes/models/properties/modular_properties/base/tests/test_noncondense_PR.py,unit,5
idaes/models/properties/modular_properties/base/tests/test_nonvap.py,component,6
idaes/models/properties/modular_properties/base/tests/test_nonvap.py,skipif,6
idaes/models/properties/modular_properties/base/tests/test_nonvap.py,solver,6
idaes/models/properties/modular_properties/base/tests/test_nonvap.py,ui,2
idaes/models/properties/modular_properties/base/tests/test_nonvap.py,unit,5
idaes/models/properties/modular_properties/base/tests/test_nonvap_PR.py,component,6
idaes/models/properties/modular_properties/base/tests/test_nonvap_PR.py,skipif,16
idaes/models/properties/modular_properties/base/tests/test_nonvap_PR.py,solver,6
idaes/models/properties/modular_properties/base/tests/test_nonvap_PR.py,ui,2
idaes/models/properties/modular_properties/base/tests/test_nonvap_PR.py,unit,5
idaes/models/properties/modular_properties/base/tests/test_utility.py,unit,49
idaes/models/properties/modular_properties/base/tests/test_vle.py,component,3
idaes/models/properties/modular_properties/base/tests/test_vle.py,unit,16
idaes/models/properties/modular_properties/coolprop/tests/test_coolprop_forms.py,unit,9
idaes/models/properties/modular_properties/coolprop/tests/test_coolprop_wrapper.py,integration,4
idaes/models/properties/modular_properties/coolprop/tests/test_coolprop_wrapper.py,unit,19
idaes/models/properties/modular_properties/eos/tests/test_ceos_PR.py,component,4
idaes/models/properties/modular_properties/eos/tests/test_ceos_PR.py,skipif,21
idaes/models/properties/modular_properties/eos/tests/test_ceos_PR.py,solver,2
idaes/models/properties/modular_properties/eos/tests/test_ceos_PR.py,unit,26
idaes/models/properties/modular_properties/eos/tests/test_cubic_root.py,skipif,1
idaes/models/properties/modular_properties/eos/tests/test_cubic_root.py,unit,2
idaes/models/properties/modular_properties/eos/tests/test_enrtl.py,unit,12
idaes/models/properties/modular_properties/eos/tests/test_ideal.py,unit,79
idaes/models/properties/modular_properties/examples/reactions/tests/test_reaction_example.py,skipif,3
idaes/models/properties/modular_properties/examples/reactions/tests/test_reaction_example.py,solver,3
idaes/models/properties/modular_properties/examples/reactions/tests/test_reaction_example.py,ui,1
idaes/models/properties/modular_properties/examples/reactions/tests/test_reaction_example.py,unit,7
idaes/models/properties/modular_properties/examples/tests/test_ASU_PR.py,component,3
idaes/models/properties/modular_properties/examples/tests/test_ASU_PR.py,skipif,2
idaes/models/properties/modular_properties/examples/tests/test_ASU_PR.py,unit,6
idaes/models/properties/modular_properties/examples/tests/test_ASU_PR_Dowling_2015.py,component,5
idaes/models/properties/modular_properties/examples/tests/test_ASU_PR_Dowling_2015.py,skipif,2
idaes/models/properties/modular_properties/examples/tests/test_ASU_PR_Dowling_2015.py,unit,6
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal.py,component,6
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal.py,skipif,6
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal.py,ui,2
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal.py,unit,15
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FPhx.py,component,6
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FPhx.py,skipif,6
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FPhx.py,ui,2
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FPhx.py,unit,15
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FcPh.py,component,6
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FcPh.py,unit,15
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FcTP.py,component,6
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FcTP.py,unit,15
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FpTPxpc.py,build,1
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FpTPxpc.py,component,5
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FpTPxpc.py,skipif,4
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FpTPxpc.py,solver,4
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FpTPxpc.py,ui,1
idaes/models/properties/modular_properties/examples/tests/test_BTIdeal_FpTPxpc.py,unit,3
idaes/models/properties/modular_properties/examples/tests/test_BT_PR.py,component,12
idaes/models/properties/modular_properties/examples/tests/test_BT_PR.py,integration,4
idaes/models/properties/modular_properties/examples/tests/test_BT_PR.py,skipif,3
idaes/models/properties/modular_properties/examples/tests/test_BT_PR_legacy_SmoothVLE.py,component,7
idaes/models/properties/modular_properties/examples/tests/test_BT_PR_legacy_SmoothVLE.py,integration,2
idaes/models/properties/modular_properties/examples/tests/test_BT_PR_legacy_SmoothVLE.py,skipif,2
idaes/models/properties/modular_properties/examples/tests/test_CO2_H2O_Ideal_VLE.py,component,3
idaes/models/properties/modular_properties/examples/tests/test_CO2_H2O_Ideal_VLE.py,integration,1
idaes/models/properties/modular_properties/examples/tests/test_CO2_H2O_Ideal_VLE.py,unit,7
idaes/models/properties/modular_properties/examples/tests/test_CO2_bmimPF6_PR.py,component,3
idaes/models/properties/modular_properties/examples/tests/test_CO2_bmimPF6_PR.py,skipif,3
idaes/models/properties/modular_properties/examples/tests/test_CO2_bmimPF6_PR.py,ui,3
idaes/models/properties/modular_properties/examples/tests/test_CO2_bmimPF6_PR.py,unit,14
idaes/models/properties/modular_properties/examples/tests/test_HC_PR.py,integration,9
idaes/models/properties/modular_properties/examples/tests/test_HC_PR.py,performance,1
idaes/models/properties/modular_properties/examples/tests/test_HC_PR.py,skipif,1
idaes/models/properties/modular_properties/examples/tests/test_HC_PR.py,unit,1
idaes/models/properties/modular_properties/examples/tests/test_HC_PR_vap.py,component,3
idaes/models/properties/modular_properties/examples/tests/test_HC_PR_vap.py,skipif,7
idaes/models/properties/modular_properties/examples/tests/test_HC_PR_vap.py,ui,1
idaes/models/properties/modular_properties/examples/tests/test_HC_PR_vap.py,unit,13
idaes/models/properties/modular_properties/examples/tests/test_enrtl_H2O_NaCl_KCl.py,unit,2
idaes/models/properties/modular_properties/examples/tests/test_entrl_NaBr_mixed_solvent.py,unit,1
idaes/models/properties/modular_properties/phase_equil/tests/test_bubble_dew.py,unit,34
idaes/models/properties/modular_properties/phase_equil/tests/test_forms.py,unit,2
idaes/models/properties/modular_properties/phase_equil/tests/test_henry.py,component,1
