file,line,class,method,owner,message
idaes/core/surrogate/base/surrogate_base.py,330,SurrogateBase,evaluate_surrogate,SurrogateBase.evaluate_surrogate,NotImplementedError('SurrogateModel class has not implemented an evaluate_surrogate method.')
idaes/core/surrogate/base/surrogate_base.py,364,SurrogateBase,save,SurrogateBase.save,"NotImplementedError('""save"" should be implemented in the class derived from SurrogateBase')"
idaes/core/surrogate/base/surrogate_base.py,396,SurrogateBase,load,SurrogateBase.load,"NotImplementedError('""load"" should be implemented in the class derived from SurrogateBase')"
idaes/core/surrogate/omlt_base_surrogate_class.py,85,OMLTSurrogate,__init__,OMLTSurrogate.__init__,NotImplementedError('KerasSurrogate only supports the OffsetScaler.')
idaes/core/surrogate/onnx_surrogate.py,157,ONNXSurrogate,evaluate_surrogate,ONNXSurrogate.evaluate_surrogate,NotImplementedError
idaes/core/surrogate/pysmo_surrogate.py,202,PysmoTrainer,_create_model,PysmoTrainer._create_model,NotImplementedError('Sub-class fail to implement overload ``_create_model`` method.')
idaes/core/util/convergence/convergence_base.py,202,ConvergenceEvaluation,get_specification,ConvergenceEvaluation.get_specification,NotImplementedError('Not implemented in the base class. This should be overridden in the derived class')
idaes/core/util/convergence/convergence_base.py,219,ConvergenceEvaluation,get_initialized_model,ConvergenceEvaluation.get_initialized_model,NotImplementedError('Not implemented in the base class. This should be overridden in the derived class')
idaes/core/util/diagnostics_tools/convergence_analysis.py,115,IpoptConvergenceAnalysis,__init__,IpoptConvergenceAnalysis.__init__,"NotImplementedError('Model contains Greybox models, which are not supported by Diagnostics toolbox at the moment')"
idaes/core/util/diagnostics_tools/degeneracy_hunter.py,130,DegeneracyHunter,__init__,DegeneracyHunter.__init__,"NotImplementedError('Model contains Greybox models, which are not supported by Diagnostics toolbox at the moment')"
idaes/core/util/diagnostics_tools/deprecated/degeneracy_hunter_legacy.py,106,DegeneracyHunter,__init__,DegeneracyHunter.__init__,NotImplementedError('Degeneracy Hunter currently only supports analyzing a Pyomo model')
idaes/core/util/diagnostics_tools/diagnostics_toolbox.py,304,DiagnosticsToolbox,__init__,DiagnosticsToolbox.__init__,"NotImplementedError('Model contains Greybox models, which are not supported by Diagnostics toolbox at the moment')"
idaes/core/util/diagnostics_tools/diagnostics_toolbox.py,1646,DiagnosticsToolbox,report_structural_issues,DiagnosticsToolbox.report_structural_issues,"NotImplementedError('Model contains Greybox models, which are not supported by Diagnostics toolbox at the moment')"
idaes/core/util/diagnostics_tools/svd_toolbox.py,188,SVDToolbox,__init__,SVDToolbox.__init__,"NotImplementedError('Model contains Greybox models, which are not supported by Diagnostics toolbox at the moment')"
